,Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,zeros,zeros+1
14684,BDCQ.SEE1035A,2012,10952.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14685,BDCQ.SEE1035A,2012,10698.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14686,BDCQ.SEE1035A,2012,11037.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14687,BDCQ.SEE1035A,2013,10950.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14688,BDCQ.SEE1035A,2013,10860.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14689,BDCQ.SEE1035A,2013,10702.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14690,BDCQ.SEE1035A,2013,11161.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14691,BDCQ.SEE1035A,2014,11165.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14692,BDCQ.SEE1035A,2014,11091.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14693,BDCQ.SEE1035A,2014,10985.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14694,BDCQ.SEE1035A,2014,11032.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14695,BDCQ.SEE1035A,2015,11279.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14696,BDCQ.SEE1035A,2015,11089.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14697,BDCQ.SEE1035A,2015,10855.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14698,BDCQ.SEE1035A,2015,11023.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14699,BDCQ.SEE1035A,2016,11068.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14700,BDCQ.SEE1035A,2016,10903.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14701,BDCQ.SEE1035A,2016,10771.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14702,BDCQ.SEE1035A,2016,11074.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14703,BDCQ.SEE1035A,2017,11099.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14704,BDCQ.SEE1035A,2017,11153.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14705,BDCQ.SEE1035A,2017,11039.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
